CLUSTER,REGION,IS_MALE,IS_FEMALE,TOTAL_SPEND_WATCHES,TOTAL_SPEND_ACCESSORIES,TOTAL_SPEND_BAGS,TOTAL_SPEND_WALLETS,TOTAL_SPEND_JEWELRY,EMAIL_CLICK_RATE,DAYS_SINCE_LAST_EMAIL_CLICK,MOBILE_SESSION_SHARE,DESKTOP_SESSION_SHARE,IS_18_24,IS_25_34,IS_35_44,IS_45_54,IS_55_PLUS,SPENT_ON_BLACK_FRIDAY,SPENT_IN_HOLIDAY_SEASON,SPENT_AROUND_VALENTINE,TOTAL_SPEND
Cluster 1,EMEA,1,0,364.5912945882492,123.37420531993148,20.83329005048297,165.84571310584542,13.138255253690637,0.06,62,0.3865755194170121,0.6134244805829878,0,0,0,0,1,46.80576499728429,84.65886401416915,24.079333840397744,687.7827583181997
Cluster 1,EMEA,1,0,336.5731994214615,141.49981965416225,35.53082375373401,177.504438613985,36.284453140006676,0.2,67,0.6720080266736871,0.3279919733263129,0,0,1,0,0,78.20614994179321,52.87869772595117,20.44653764562246,727.3927345833495
Cluster 1,EMEA,1,0,495.9021057243017,42.79293508561401,10.68644407327001,214.50466345058663,42.27651908203118,0.17,23,0.852460900063051,0.14753909993694903,1,0,0,0,0,203.06090805807696,236.6872616158966,55.09358955237333,806.1626674158035
Cluster 1,APAC,1,0,314.11374948008597,103.51450616682104,11.060452421664873,187.86633719101948,47.6092096569983,0.25,50,0.820428294200133,0.17957170579986703,0,0,1,0,0,83.00837590624027,214.12789514879108,66.33457030914155,664.1642549165897
Cluster 1,AMERICAS,0,1,27.62120213103668,29.01696911377151,220.15560027548534,10.72887302606199,318.88859215118566,0.29,81,0.9570110622038854,0.04298893779611457,0,0,1,0,0,71.34523020755108,118.124913892848,33.46250754123128,606.4112366975412
Cluster 1,APAC,1,0,425.7885693559768,134.07136175851687,39.40284175215543,220.5221395577273,21.281382902852258,0.11,73,0.9688017032368915,0.03119829676310848,0,0,1,0,0,75.84829797696761,75.53794588449311,32.50148042944942,841.0662953272285
Cluster 1,APAC,1,0,471.68255036860234,75.76922355875239,40.03484271165989,213.18143111270234,14.124954753437304,0.37,62,0.29234679386484536,0.7076532061351546,0,0,0,0,1,36.78716570583798,69.99697743237267,14.813676707263202,814.7930025051542
Cluster 1,AMERICAS,0,1,38.738227383137335,143.50805571660464,390.1214293875112,32.93751552493144,426.36744243395987,0.21,12,0.18033395307864777,0.8196660469213523,0,0,0,1,0,77.7137076493912,208.3158087451697,81.06563285150985,1031.6726704461446
Cluster 1,EMEA,0,1,99.63381178272962,27.263250108055505,347.40711135820175,31.83663080659956,441.1662967757389,0.39,9,0.9357880788099988,0.06421192119000119,0,0,1,0,0,19.10104085105112,66.82136122299949,73.0872218313208,947.3071008313253
Cluster 1,EMEA,1,0,329.3209643384051,86.73240193001108,19.32912289698111,187.19581258401735,44.525540879560154,0.36,17,0.43601113662481716,0.5639888633751828,0,0,0,1,0,17.51506450288019,205.42938318548735,60.256382476222456,667.1038426289747
Cluster 1,APAC,0,1,49.10066600394442,52.978682603508034,281.0404173562834,32.858921008200426,448.19477218213365,0.32,39,0.45327389130025775,0.5467261086997423,0,0,0,0,1,96.59552936270877,124.97411590474081,35.714087765367466,864.1734591540699
Cluster 1,AMERICAS,1,0,460.4218498053468,147.1270869380552,32.240201545703385,148.40295824163755,11.73603133192691,0.37,36,0.8054350577938572,0.19456494220614284,0,1,0,0,0,57.078805975313394,175.87972762705252,289.14973779692343,799.9281278626698
Cluster 1,APAC,1,0,376.84036627584396,115.8230917595925,46.610173666764254,243.80536111117692,12.314555910308297,0.19,24,0.8784006410914169,0.12159935890858309,0,0,1,0,0,26.930904375138518,142.73968098799642,41.80170052234475,795.393548723686
Cluster 1,APAC,0,1,33.395487656883645,78.92131008774804,206.4631902219301,21.19054028675783,382.24134417443724,0.26,29,0.864889324125355,0.13511067587464498,1,0,0,0,0,316.23252423616526,233.8353103671119,17.447357803177553,722.2118724277568
Cluster 1,AMERICAS,0,1,12.37302770475268,68.94023769414645,362.11066615636656,49.49104517259778,330.08337822070564,0.26,63,0.7624989371630186,0.23750106283698136,0,0,1,0,0,61.217332224917286,62.70236591800027,13.313968087239225,822.998354948569
Cluster 1,EMEA,0,1,87.82501386295479,125.67713118691009,399.9435346572261,49.86547348295622,411.0863411205255,0.32,37,0.9355970385308192,0.06440296146918079,1,0,0,0,0,248.21696646592636,91.00906570130498,32.62981955606186,1074.3974943105727
Cluster 1,EMEA,0,1,70.4530615965271,100.35667125952645,271.6325436065681,14.54230368798516,434.3146391185599,0.23,3,0.806751848141011,0.19324815185898903,0,1,0,0,0,59.6716154897037,162.18759430707726,325.330720531669,891.2992192691668
Cluster 1,APAC,0,1,47.84822007985676,122.00687431276025,327.8722713948485,42.20178670077448,480.63021173532525,0.27,38,0.9273993390588819,0.07260066094111806,1,0,0,0,0,310.96312170844516,68.20041821026605,75.37573293852054,1020.5593642235652
Cluster 1,APAC,0,1,45.68885040891431,100.87127102962356,372.47274174934904,47.98082494630569,329.4146961858076,0.37,74,0.7518661650720275,0.24813383492797247,0,0,1,0,0,41.26720674028728,91.82615821570283,62.16849410245646,896.4283843200003
Cluster 1,EMEA,0,1,21.52412550619952,39.747350156598266,227.76543452988201,35.634989792128586,336.37601687982897,0.17,67,0.9073682012098753,0.09263179879012473,0,0,1,0,0,97.57993143430939,170.38707910819204,30.146415931568853,661.0479168646373
Cluster 1,AMERICAS,1,0,335.4020968553494,31.53132938841723,14.825434844024032,169.11681520490887,18.2533487362317,0.18,78,0.6839674974730695,0.3160325025269305,0,1,0,0,0,18.306152760587146,146.22907881125863,287.5569434192166,569.1290250289312
Cluster 1,APAC,1,0,312.21559197097275,55.99409425913648,42.24805119172245,212.23895355754874,17.38084077425509,0.12,56,0.7689275735382807,0.23107242646171933,1,0,0,0,0,273.7827279139545,142.50694322662957,77.2723844320381,640.0775317536354
Cluster 1,EMEA,0,1,71.8448954862998,129.77728744237174,349.9232464017175,11.218886109343767,473.4429962149446,0.17,15,0.7511230176544468,0.24887698234555322,0,1,0,0,0,26.405549062836226,162.79301840376726,318.1419971755862,1036.2073116546776
Cluster 1,EMEA,0,1,90.14745526659054,97.16701896202633,335.8204638288979,41.56684954429353,399.68843978581145,0.08,86,0.8538910043684659,0.14610899563153412,0,0,1,0,0,48.84935916067114,75.51606055911276,35.539831521885205,964.3902273876197
Cluster 1,EMEA,1,0,348.8706310929309,84.77220072036222,23.21393925123656,240.0537735639812,10.30137452536299,0.13,70,0.7512874616235304,0.24871253837646956,0,0,1,0,0,26.79103216461752,107.01903373876942,25.603623576527934,707.211919153874
Cluster 1,AMERICAS,0,1,11.641823328552494,110.6049901076348,399.45110695367885,45.86441051896083,415.199683561132,0.37,79,0.8755391225825756,0.1244608774174244,1,0,0,0,0,234.17751747801316,183.7286439848862,93.64383902148272,982.762014469959
Cluster 1,APAC,0,1,85.47243028323624,46.66008281942968,393.59881330084687,38.438099153469935,339.90138546766394,0.31,12,0.7095683374895592,0.29043166251044084,0,0,1,0,0,35.97674979162302,166.24764428452247,23.89264437467821,904.0708110246467
Cluster 1,APAC,0,1,43.23074333589065,79.05483638848295,309.72062358763066,31.95687919555909,340.34609246604714,0.29,84,0.6870293145342382,0.3129706854657618,0,0,1,0,0,78.42050739007179,169.12774812156886,52.441856969514255,804.3091749736104
Cluster 1,APAC,0,1,86.56547140148092,116.97668832133336,281.7036585871834,47.317522683998185,498.1858952914781,0.12,35,0.8353157623222666,0.16468423767773344,0,1,0,0,0,14.328517956767893,206.302896350283,315.5881774354984,1030.7492362854741
Cluster 1,AMERICAS,0,1,24.783921813789366,125.89471363007968,333.03944413924,30.922616990764773,371.7660968247005,0.36,89,0.4907018901910556,0.5092981098089444,0,0,0,1,0,74.24042093697933,229.93348905843462,66.16913897636539,886.4067933985743
Cluster 1,APAC,0,1,30.89914256321356,136.9446945256939,276.7782442746423,31.742114444559544,481.2944221929094,0.27,51,0.723520861304455,0.27647913869554497,0,1,0,0,0,75.74942231283713,188.74352148066768,183.34615199867665,957.6586180010188
Cluster 1,AMERICAS,1,0,478.7785166101915,122.517637459189,16.06699518931005,146.75831016933225,19.93956559257863,0.31,68,0.8402034480046923,0.15979655199530773,0,0,1,0,0,88.90890730855745,118.4163497431815,83.91315742048116,784.0610250206015
Cluster 1,EMEA,1,0,420.7915744145025,85.29748517012892,31.59442548451347,172.95362229934116,26.358207083419728,0.32,27,0.4008602949848836,0.5991397050151164,0,0,0,1,0,58.84519990128366,100.35981178139055,41.11263941535275,736.9953144519059
Cluster 1,EMEA,1,0,345.4701966059974,75.06759211466277,21.517184659029045,192.24253947289816,46.474096353718586,0.1,82,0.30469154349502586,0.6953084565049741,0,0,0,0,1,88.49115180497364,236.4236564967225,60.861986523028804,680.7716092063059
Cluster 1,APAC,1,0,430.2734421976492,120.26206690756594,24.97741478881688,110.33823090508282,13.09284261955149,0.09,41,0.37810732676164527,0.6218926732383547,0,0,0,0,1,20.19142412566797,246.9682397924669,85.50082778013407,698.9439974186663
Cluster 1,EMEA,0,1,38.029983764107705,49.56143071402464,321.5788787588517,25.172227935421954,448.8499303686578,0.12,57,0.06792626260218693,0.9320737373978131,0,0,0,0,1,92.78700547714844,119.26919887319225,41.22578817066049,883.1924515410639
Cluster 1,AMERICAS,0,1,12.956200321909451,138.65743017428676,249.64528855143038,33.105278163661886,333.10266348559475,0.06,33,0.6155094759703907,0.38449052402960926,0,0,1,0,0,66.90378591275774,52.61889131766673,69.71836348150396,767.4668606968833
Cluster 1,EMEA,0,1,60.15748320010431,131.8821623257954,307.0139437867317,17.378514856754244,359.9191823532954,0.16,87,0.2670382658193592,0.7329617341806408,0,0,0,0,1,41.44482991443997,143.64636568827586,66.2478388345947,876.351286522681
Cluster 1,EMEA,0,1,15.913777548551714,120.81859017035137,290.6577669496055,30.975610773103202,388.15254938764565,0.19,38,0.32382962621214484,0.6761703737878552,0,0,0,1,0,40.0926530179434,65.10067276077784,77.79215986727057,846.5182948292575
Cluster 1,EMEA,1,0,381.7468342196193,23.300226235844832,16.246103894647614,207.39583432710964,36.356957676406054,0.06,67,0.18709482287827708,0.8129051771217229,0,0,0,0,1,11.773948397892774,70.82171639691477,81.99244768358705,665.0459563536275
Cluster 1,EMEA,0,1,74.8731786679456,124.69094575652767,397.74575639108855,34.127896087079186,461.3700297925172,0.39,37,0.6942468748566658,0.3057531251433342,0,0,1,0,0,39.15910549961197,67.38500299006986,66.99166974198644,1092.8078066951582
Cluster 1,AMERICAS,1,0,336.28708701795944,95.79540292605998,26.856982023699917,233.90075666154624,42.69774246953764,0.17,2,0.2903173962606589,0.7096826037393411,0,0,0,1,0,84.75890559087247,119.03842897625512,79.64510708812062,735.5379710988032
Cluster 1,EMEA,0,1,95.3607976265941,119.2687532407689,228.0226351532905,44.73871903591651,397.4862396499027,0.36,81,0.02159957711979776,0.9784004228802022,0,0,0,0,1,76.7518249805799,189.76917063218087,46.22950392372825,884.8771447064728
Cluster 1,EMEA,1,0,496.8804361407104,88.33972369934915,16.86717143393214,140.84609897790534,10.735627061898668,0.37,85,0.9359157627210558,0.06408423727894419,0,0,1,0,0,16.045785992413908,131.04961760553775,54.771840458190155,753.6690573137957
Cluster 1,AMERICAS,1,0,327.3771260137614,137.00242344025366,44.95560310250061,189.61196532554624,34.020674417346136,0.28,71,0.8257138130093972,0.17428618699060283,1,0,0,0,0,280.87630030980483,204.1822754128541,47.98324535956186,732.9677922994082
Cluster 1,EMEA,0,1,17.45188011326138,98.40977423063046,249.0698219362642,25.571824561679062,357.73874735413995,0.17,59,0.12464262820913127,0.8753573717908687,0,0,0,0,1,52.84453619791897,182.73423307252963,94.31467653922822,748.242048195975
Cluster 1,AMERICAS,1,0,407.9685557816387,41.061804125906,43.66118641240173,226.96117739718358,48.20945250893916,0.1,73,0.824252042561252,0.17574795743874805,0,1,0,0,0,16.762400356222788,195.63775124072066,249.0982632412397,767.8621762260692
Cluster 1,APAC,0,1,16.83400693326599,30.10949473026442,200.46787812515566,48.707975528283455,301.050763711677,0.09,44,0.9010141460428619,0.0989858539571381,0,1,0,0,0,56.91706006722124,67.34104237243672,341.63415860078607,597.1701190286465
Cluster 1,AMERICAS,0,1,69.29050300396456,109.99595338732082,369.83913031306383,19.98672035436744,397.8849927286281,0.13,26,0.7617516982541909,0.23824830174580913,0,0,1,0,0,13.974889393909017,167.65275139398622,99.94181496092514,966.9972997873447
Cluster 1,APAC,0,1,13.055138072721896,110.66463474208919,259.4698014745102,46.975847815061215,494.21164903307357,0.38,82,0.6,0.4,0,0,1,0,0,68.009198556324,180.03347008864563,42.82275245115753,924.3770711374561
Cluster 1,APAC,0,1,72.66598982903258,64.1837452898486,344.95335430575227,12.614253631957695,363.0580675661221,0.24,86,0.6514439626963029,0.3485560373036971,0,0,1,0,0,89.73799734125684,173.1726376364609,30.96635272782704,857.4754106227133
Cluster 1,EMEA,1,0,300.0475047151769,44.111478244973924,25.35855559678903,239.88848641378794,12.801188229898841,0.05,29,0.440934744018558,0.559065255981442,0,0,0,0,1,53.18880582735179,175.501092643674,88.63094027677049,622.2072132006266
Cluster 1,AMERICAS,0,1,40.27334174455799,87.927494912488,346.45436143692905,10.133854481719169,393.4621533075305,0.15,68,0.46139698207274443,0.5386030179272556,0,0,0,1,0,34.95390811270962,232.06782041150686,14.059060949829087,878.2512058832247
Cluster 1,EMEA,1,0,343.6507775730128,143.4949539135293,41.45380057662208,113.41165034683893,26.703231031397134,0.36,46,0.8207612688228065,0.17923873117719347,0,1,0,0,0,99.0266418832023,198.67056457872482,162.9972818965788,668.7144134414001
Cluster 1,APAC,1,0,421.54735897577183,86.64950643214611,19.226792468710347,126.47920480082624,18.819448362807016,0.12,3,0.350818977749213,0.649181022250787,0,0,0,1,0,66.68001306965378,93.26480460731071,56.6434330008753,672.7223110402615
Cluster 1,APAC,0,1,45.661781701239285,118.57100184153187,339.2041236107585,16.155836253594202,463.16662499812355,0.13,89,0.9795877673095522,0.020412232690447785,0,0,1,0,0,18.233815365797938,225.49217252607608,33.90400383298355,982.7593684052474
Cluster 1,EMEA,0,1,86.6974180012307,24.604907894410857,265.8102730739742,47.26357953275959,447.0425309046905,0.15,79,0.23690078701260525,0.7630992129873948,0,0,0,0,1,96.59097753328449,71.89377201089077,90.50319378712607,871.4187094070659
Cluster 1,AMERICAS,0,1,53.25279195939832,97.0130120057373,364.9361931850298,23.912368316087722,435.60323051181274,0.25,33,0.8305554320377259,0.16944456796227414,1,0,0,0,0,331.6903669316851,220.11634581884837,88.05647808638221,974.7175959780659
Cluster 1,AMERICAS,0,1,93.70813154587648,33.75843219771592,339.79814760791754,17.568861591400236,476.32742655407003,0.39,31,0.3146713686433323,0.6853286313566678,0,0,0,1,0,40.16069688332277,198.70165125832156,24.46839064434774,961.1609994969803
Cluster 1,AMERICAS,0,1,33.28194976281172,45.1072723963481,216.81964489359694,23.057343060131718,411.96886246176587,0.09,60,0.23295684329537406,0.767043156704626,0,0,0,1,0,11.658494686439573,136.44815677850247,85.61093524670969,730.2350725746544
Cluster 1,EMEA,0,1,19.225875519161132,141.83970334073865,337.5771444601627,12.713482364206875,360.19271338936323,0.3,22,0.9846806040086968,0.015319395991303164,1,0,0,0,0,211.58409211175965,64.9388835515708,86.71731932787829,871.5489190736325
Cluster 1,AMERICAS,1,0,449.9303663485849,36.91121121698215,40.3305278371609,103.68803746882023,10.88494206115989,0.16,79,0.8731215493342874,0.12687845066571257,0,0,1,0,0,10.092653186107006,81.7876566553513,52.16854750917259,641.7450849327081
Cluster 1,AMERICAS,0,1,24.726143907250226,123.32524133749082,338.73644515629775,18.830784511550416,316.47620912316853,0.29,22,0.8243307664128366,0.17566923358716335,1,0,0,0,0,371.4720184184997,242.9040944540417,78.40846705942874,822.0948240357577
Cluster 1,APAC,1,0,478.81984073582686,49.89409876584121,18.52418816100333,104.6701124326767,36.066673015035406,0.18,15,0.6343586294524844,0.36564137054751555,0,1,0,0,0,24.332116445133803,90.74024985525485,168.23289808123835,687.9749131103833
Cluster 1,EMEA,1,0,452.2047981885998,101.408641812084,15.249795107295503,104.87892692368779,46.83391391262747,0.27,46,0.9501038840004461,0.0498961159995539,0,0,1,0,0,32.278596004303765,161.68253451663958,30.29861281993619,720.5760759442946
Cluster 1,EMEA,0,1,34.20940639915879,123.68268308283446,262.07239178471474,28.20880596327205,302.3241079816201,0.08,64,0.7927716521929576,0.20722834780704236,0,0,1,0,0,74.96988651342416,181.39677151289862,78.1353340850101,750.4973952116002
Cluster 1,AMERICAS,0,1,53.24562525320461,33.640923194362735,248.4090031725055,49.46650373068586,328.4991085803026,0.22,86,0.1853508792400432,0.8146491207599568,0,0,0,0,1,79.82242622136604,238.2475008464773,16.517464493170735,713.2611639310613
Cluster 1,APAC,1,0,306.6406217582733,30.215204630152698,25.87693104806384,119.90736310645906,32.70163393046233,0.29,15,0.255501667862614,0.7444983321373859,0,0,0,0,1,19.411105630096024,177.28604990872734,73.5828153838211,515.3417544734112
Cluster 1,EMEA,0,1,65.16497573790453,58.8486652238508,387.04036305989194,47.89401850524155,425.06093204278955,0.32,7,0.49765442737282284,0.5023455726271772,0,0,0,0,1,63.77282763687371,206.7665106837724,53.281344830408635,984.0089545696784
Cluster 1,EMEA,1,0,316.3259964061179,27.845770918773294,19.884129360405858,123.93170201697825,44.87134266368807,0.13,55,0.779596941901894,0.220403058098106,1,0,0,0,0,374.3665557946242,136.73106679127778,13.929549193662506,532.8589413659633
Cluster 1,EMEA,0,1,30.560926719816884,149.52340908737645,394.9586324293566,36.01302745387748,339.908490185829,0.29,54,0.7889266570919304,0.21107334290806956,1,0,0,0,0,345.4338139532616,198.5413042399962,48.29440010032678,950.9644858762565
Cluster 1,EMEA,1,0,400.96897637860354,90.62906803722748,30.559834712348998,188.2087567135119,11.17577783026029,0.19,66,0.8439302757681472,0.15606972423185284,0,1,0,0,0,68.95084049488977,248.42666326813446,206.770905721729,721.5424136719522
Cluster 1,EMEA,1,0,426.31204401850414,115.30469291398653,15.262707405090392,207.37374470231327,46.36130082662564,0.11,44,0.6,0.4,0,1,0,0,0,47.17280571829273,63.82655723732389,237.4330777633653,810.61448986652
Cluster 1,EMEA,1,0,402.96347078593806,66.70033802196954,33.7180340573971,124.52858088775342,25.643261466070427,0.39,66,0.9537611560074042,0.04623884399259581,0,1,0,0,0,45.69937987092058,97.40557142166723,196.9348076523102,653.5536852191285
Cluster 1,AMERICAS,1,0,403.95478971120355,63.810412936067216,43.15533463530438,164.63312854927088,19.948570903505196,0.27,1,0.6695344604192576,0.33046553958074243,0,1,0,0,0,44.14227309301814,171.10763152897655,221.34641060800033,695.5022367353513
Cluster 1,APAC,1,0,461.13403059001064,96.09606737157777,44.73085122053035,130.87618150551523,14.476784775909115,0.14,2,0.2548994969870072,0.7451005030129928,0,0,0,1,0,14.652715351737427,178.00059336738275,30.223105927541198,747.313915463543
Cluster 1,EMEA,0,1,55.65113278195532,25.404471676550973,229.66864019241777,49.46520491835388,493.0237392872091,0.05,89,0.8346488475897993,0.1653511524102007,1,0,0,0,0,290.94797112677185,153.11920571585006,53.99619222312282,853.213188856487
Cluster 1,APAC,1,0,326.54293076385545,38.660507065121074,47.59279167707367,209.93483775120126,16.495275786492837,0.12,8,0.7406163491001547,0.2593836508998453,1,0,0,0,0,392.6693665640798,101.06130494568637,69.5469115334032,639.2263430437442
Cluster 1,AMERICAS,1,0,399.4349528016855,100.3201412261578,44.756199379148725,185.59146199582446,11.215482387873475,0.38,46,0.8751740273393577,0.12482597266064233,0,1,0,0,0,94.67878207042584,215.3677767423755,283.3943033981815,741.31823779069
Cluster 1,APAC,1,0,499.8827451541333,26.267565051872282,49.08696736885269,161.03619410843058,44.83013801349037,0.32,77,0.7673296005022175,0.23267039949778245,0,1,0,0,0,68.54604830125442,203.03817291115692,335.13496617614237,781.1036096967791
Cluster 1,APAC,0,1,81.80322839727711,76.62583092568129,363.56684323500434,14.808362214824339,408.8978195921699,0.05,15,0.45863738801590165,0.5413626119840984,0,0,0,0,1,60.709503461361294,126.08394084655954,59.364974948632906,945.702084364957
Cluster 1,APAC,0,1,30.454266453683633,29.515470089897672,320.68971867627556,36.72851194220065,423.8980692019229,0.21,3,0.8058401472102669,0.19415985278973313,0,0,1,0,0,86.24506252353167,232.84730319029399,83.23896594876278,841.2860363639804
Cluster 1,EMEA,1,0,416.03447384546644,89.3683310744942,34.316203711737785,214.73248923131925,42.51942954864374,0.3,43,0.839208452970087,0.16079154702991305,1,0,0,0,0,385.40690895926133,62.05347805791217,94.09924241249628,796.9709274116615
Cluster 1,EMEA,0,1,65.56165816716768,88.00101419563201,334.01920692218835,47.18423509687957,406.45204266780803,0.25,36,0.9558679910088983,0.0441320089911017,1,0,0,0,0,395.34504773251575,214.63480311913204,57.02329364645065,941.2181570496757
Cluster 1,EMEA,0,1,57.26470453003542,112.17601402391625,221.37538461894877,32.692488785156144,351.3125567402727,0.39,68,0.07230873019003925,0.9276912698099608,0,0,0,0,1,20.107390997009727,50.51680296899648,67.41866852139678,774.8211486983294
Cluster 1,APAC,1,0,342.40896798164533,99.42752855062892,26.441138792268188,225.97919543000805,46.000924935920445,0.17,26,0.6941700395040874,0.3058299604959126,0,0,1,0,0,75.8762260827071,220.23485217055418,70.4282202577553,740.257755690471
Cluster 1,AMERICAS,1,0,390.35353574744585,96.25910021281163,16.720568309794537,210.53106174162733,44.51188310172914,0.13,81,0.20622201661300896,0.793777983386991,0,0,0,1,0,30.722155158508293,91.23723290368528,67.41647139843731,758.3761491134085
Cluster 1,EMEA,0,1,54.709017297325246,148.41211762793534,227.28795051134662,37.80578216190375,380.8637536208584,0.2,39,0.7480146608451247,0.2519853391548753,0,0,1,0,0,64.2897469192035,117.44542655108407,91.49723130967065,849.0786212193693
Cluster 1,AMERICAS,0,1,90.47717871977065,44.94275221343658,264.67431242310414,19.06625608907952,370.99926116638744,0.07,49,0.8965407974435381,0.1034592025564619,0,1,0,0,0,16.293844513849074,178.03364476563323,204.22948730003696,790.1597606117783
